#序列号    类型          状态        状态原因编号   签发时间/吊销时间         颁发者序列号      算法
#     ROOT/CA/END   V正常R吊销N未知     0-9    例如 2000/06/17-12:12:12     A00001	 RSA|DSA|ECC|SM2
13fbe8654df77f5 R V 0 2024/10/18-23:49:09 13fbe8654df77f5 SM2
10fc4642a E V 0 2024/10/18-23:49:09 13fbe8654df77f5 SM2
10fc46143 E V 0 2024/10/18-23:49:09 13fbe8654df77f5 SM2
10fc4636b E V 0 2024/10/18-23:49:09 13fbe8654df77f5 SM2
10fc463be E V 0 2024/10/18-23:49:34 13fbe8654df77f5 RSA
10fc4620c E V 0 2024/10/18-23:49:51 13fbe8654df77f5 ECC
10fc461ac E R 0 2024/10/18-23:52:21 13fbe8654df77f5 SM2
10fc4636a E V 0 2024/10/18-23:51:04 13fbe8654df77f5 RSA
10fc46337 E V 0 2024/10/18-23:51:07 13fbe8654df77f5 ECC
10fc461f5 E V 0 2024/10/18-23:51:13 13fbe8654df77f5 RSA
